name,note,8v,#/b,clef,score_image_front,score_image_back,keyboard_full_image_front,keyboard_full_image_back,keyboard_octave_image,keyboard_blank_image,sound_file,piano_key#,order,tags
A0 bass,A,0,,bass,"<img src=""piano-score-front-001-01-0-bass-A0.png""/>","<img src=""piano-score-back-001-01-0-bass-A0.png""/>","<img src=""piano-keyboard-front-01-0-A0.png""/>","<img src=""piano-keyboard-back-01-0-A0.png""/>","<img src=""piano-keyboard-octave-back-A.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-001-01-0-bass-A0.mp3],1,4,
A0# bass,A,0,#,bass,"<img src=""piano-score-front-002-02-0-bass-A0#.png""/>","<img src=""piano-score-back-002-02-0-bass-A0#.png""/>","<img src=""piano-keyboard-front-02-0-A0#-B0b.png""/>","<img src=""piano-keyboard-back-02-0-A0#-B0b.png""/>","<img src=""piano-keyboard-octave-back-A#-Bb.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-002-02-0-bass-A0#.mp3],2,4,
B0b bass,B,0,b,bass,"<img src=""piano-score-front-004-02-0-bass-B0b.png""/>","<img src=""piano-score-back-004-02-0-bass-B0b.png""/>","<img src=""piano-keyboard-front-02-0-A0#-B0b.png""/>","<img src=""piano-keyboard-back-02-0-A0#-B0b.png""/>","<img src=""piano-keyboard-octave-back-A#-Bb.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-004-02-0-bass-B0b.mp3],2,4,
B0 bass,B,0,,bass,"<img src=""piano-score-front-003-03-0-bass-B0.png""/>","<img src=""piano-score-back-003-03-0-bass-B0.png""/>","<img src=""piano-keyboard-front-03-0-B0.png""/>","<img src=""piano-keyboard-back-03-0-B0.png""/>","<img src=""piano-keyboard-octave-back-B.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-003-03-0-bass-B0.mp3],3,4,
C1 bass,C,1,,bass,"<img src=""piano-score-front-005-04-1-bass-C1.png""/>","<img src=""piano-score-back-005-04-1-bass-C1.png""/>","<img src=""piano-keyboard-front-04-1-C1.png""/>","<img src=""piano-keyboard-back-04-1-C1.png""/>","<img src=""piano-keyboard-octave-back-C.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-005-04-1-bass-C1.mp3],4,4,
C1# bass,C,1,#,bass,"<img src=""piano-score-front-006-05-1-bass-C1#.png""/>","<img src=""piano-score-back-006-05-1-bass-C1#.png""/>","<img src=""piano-keyboard-front-05-1-C1#-D1b.png""/>","<img src=""piano-keyboard-back-05-1-C1#-D1b.png""/>","<img src=""piano-keyboard-octave-back-C#-Db.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-006-05-1-bass-C1#.mp3],5,4,
D1b bass,D,1,b,bass,"<img src=""piano-score-front-009-05-1-bass-D1b.png""/>","<img src=""piano-score-back-009-05-1-bass-D1b.png""/>","<img src=""piano-keyboard-front-05-1-C1#-D1b.png""/>","<img src=""piano-keyboard-back-05-1-C1#-D1b.png""/>","<img src=""piano-keyboard-octave-back-C#-Db.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-009-05-1-bass-D1b.mp3],5,4,
D1 bass,D,1,,bass,"<img src=""piano-score-front-007-06-1-bass-D1.png""/>","<img src=""piano-score-back-007-06-1-bass-D1.png""/>","<img src=""piano-keyboard-front-06-1-D1.png""/>","<img src=""piano-keyboard-back-06-1-D1.png""/>","<img src=""piano-keyboard-octave-back-D.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-007-06-1-bass-D1.mp3],6,4,
D1# bass,D,1,#,bass,"<img src=""piano-score-front-008-07-1-bass-D1#.png""/>","<img src=""piano-score-back-008-07-1-bass-D1#.png""/>","<img src=""piano-keyboard-front-07-1-D1#-E1b.png""/>","<img src=""piano-keyboard-back-07-1-D1#-E1b.png""/>","<img src=""piano-keyboard-octave-back-D#-Eb.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-008-07-1-bass-D1#.mp3],7,4,
E1b bass,E,1,b,bass,"<img src=""piano-score-front-011-07-1-bass-E1b.png""/>","<img src=""piano-score-back-011-07-1-bass-E1b.png""/>","<img src=""piano-keyboard-front-07-1-D1#-E1b.png""/>","<img src=""piano-keyboard-back-07-1-D1#-E1b.png""/>","<img src=""piano-keyboard-octave-back-D#-Eb.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-011-07-1-bass-E1b.mp3],7,4,
E1 bass,E,1,,bass,"<img src=""piano-score-front-010-08-1-bass-E1.png""/>","<img src=""piano-score-back-010-08-1-bass-E1.png""/>","<img src=""piano-keyboard-front-08-1-E1.png""/>","<img src=""piano-keyboard-back-08-1-E1.png""/>","<img src=""piano-keyboard-octave-back-E.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-010-08-1-bass-E1.mp3],8,4,
