name,note,8v,#/b,clef,score_image,keyboard_full_image,keyboard_octave_image,sound_file,piano_key#,order,tags
A0 Bass,A,0,,bass,"<img src=""piano/images/score/001-01-0-bass-A0-score.png""/>","<img src=""piano/images/keyboard/01-0-A0-keyboard.png""/>","<img src=""piano/images/keyboard-octave/A-keyboard-octave.png""/>",[sound:piano/audio/001-01-0-bass-A0.mp3],1,4,
A0# Bass,A,0,#,bass,"<img src=""piano/images/score/002-02-0-bass-A0#-score.png""/>","<img src=""piano/images/keyboard/02-0-A0#-B0b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/A#-Bb-keyboard-octave.png""/>",[sound:piano/audio/002-02-0-bass-A0#.mp3],2,4,
B0b Bass,B,0,b,bass,"<img src=""piano/images/score/004-02-0-bass-B0b-score.png""/>","<img src=""piano/images/keyboard/02-0-A0#-B0b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/A#-Bb-keyboard-octave.png""/>",[sound:piano/audio/004-02-0-bass-B0b.mp3],2,4,
B0 Bass,B,0,,bass,"<img src=""piano/images/score/003-03-0-bass-B0-score.png""/>","<img src=""piano/images/keyboard/03-0-B0-keyboard.png""/>","<img src=""piano/images/keyboard-octave/B-keyboard-octave.png""/>",[sound:piano/audio/003-03-0-bass-B0.mp3],3,4,
C1 Bass,C,1,,bass,"<img src=""piano/images/score/005-04-1-bass-C1-score.png""/>","<img src=""piano/images/keyboard/04-1-C1-keyboard.png""/>","<img src=""piano/images/keyboard-octave/C-keyboard-octave.png""/>",[sound:piano/audio/005-04-1-bass-C1.mp3],4,4,
C1# Bass,C,1,#,bass,"<img src=""piano/images/score/006-05-1-bass-C1#-score.png""/>","<img src=""piano/images/keyboard/05-1-C1#-D1b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/C#-Db-keyboard-octave.png""/>",[sound:piano/audio/006-05-1-bass-C1#.mp3],5,4,
D1b Bass,D,1,b,bass,"<img src=""piano/images/score/009-05-1-bass-D1b-score.png""/>","<img src=""piano/images/keyboard/05-1-C1#-D1b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/C#-Db-keyboard-octave.png""/>",[sound:piano/audio/009-05-1-bass-D1b.mp3],5,4,
D1 Bass,D,1,,bass,"<img src=""piano/images/score/007-06-1-bass-D1-score.png""/>","<img src=""piano/images/keyboard/06-1-D1-keyboard.png""/>","<img src=""piano/images/keyboard-octave/D-keyboard-octave.png""/>",[sound:piano/audio/007-06-1-bass-D1.mp3],6,4,
D1# Bass,D,1,#,bass,"<img src=""piano/images/score/008-07-1-bass-D1#-score.png""/>","<img src=""piano/images/keyboard/07-1-D1#-E1b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/D#-Eb-keyboard-octave.png""/>",[sound:piano/audio/008-07-1-bass-D1#.mp3],7,4,
E1b Bass,E,1,b,bass,"<img src=""piano/images/score/011-07-1-bass-E1b-score.png""/>","<img src=""piano/images/keyboard/07-1-D1#-E1b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/D#-Eb-keyboard-octave.png""/>",[sound:piano/audio/011-07-1-bass-E1b.mp3],7,4,
E1 Bass,E,1,,bass,"<img src=""piano/images/score/010-08-1-bass-E1-score.png""/>","<img src=""piano/images/keyboard/08-1-E1-keyboard.png""/>","<img src=""piano/images/keyboard-octave/E-keyboard-octave.png""/>",[sound:piano/audio/010-08-1-bass-E1.mp3],8,4,
F1 Bass,F,1,,bass,"<img src=""piano/images/score/012-09-1-bass-F1-score.png""/>","<img src=""piano/images/keyboard/09-1-F1-keyboard.png""/>","<img src=""piano/images/keyboard-octave/F-keyboard-octave.png""/>",[sound:piano/audio/012-09-1-bass-F1.mp3],9,4,
F1# Bass,F,1,#,bass,"<img src=""piano/images/score/013-10-1-bass-F1#-score.png""/>","<img src=""piano/images/keyboard/10-1-F1#-G1b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/F#-Gb-keyboard-octave.png""/>",[sound:piano/audio/013-10-1-bass-F1#.mp3],10,4,
G1b Bass,G,1,b,bass,"<img src=""piano/images/score/016-10-1-bass-G1b-score.png""/>","<img src=""piano/images/keyboard/10-1-F1#-G1b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/F#-Gb-keyboard-octave.png""/>",[sound:piano/audio/016-10-1-bass-G1b.mp3],10,4,
G1 Bass,G,1,,bass,"<img src=""piano/images/score/014-11-1-bass-G1-score.png""/>","<img src=""piano/images/keyboard/11-1-G1-keyboard.png""/>","<img src=""piano/images/keyboard-octave/G-keyboard-octave.png""/>",[sound:piano/audio/014-11-1-bass-G1.mp3],11,4,
G1# Bass,G,1,#,bass,"<img src=""piano/images/score/015-12-1-bass-G1#-score.png""/>","<img src=""piano/images/keyboard/12-1-G1#-A1b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/G#-Ab-keyboard-octave.png""/>",[sound:piano/audio/015-12-1-bass-G1#.mp3],12,4,
A1b Bass,A,1,b,bass,"<img src=""piano/images/score/019-12-1-bass-A1b-score.png""/>","<img src=""piano/images/keyboard/12-1-G1#-A1b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/G#-Ab-keyboard-octave.png""/>",[sound:piano/audio/019-12-1-bass-A1b.mp3],12,4,
A1 Bass,A,1,,bass,"<img src=""piano/images/score/017-13-1-bass-A1-score.png""/>","<img src=""piano/images/keyboard/13-1-A1-keyboard.png""/>","<img src=""piano/images/keyboard-octave/A-keyboard-octave.png""/>",[sound:piano/audio/017-13-1-bass-A1.mp3],13,4,
A1# Bass,A,1,#,bass,"<img src=""piano/images/score/018-14-1-bass-A1#-score.png""/>","<img src=""piano/images/keyboard/14-1-A1#-B1b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/A#-Bb-keyboard-octave.png""/>",[sound:piano/audio/018-14-1-bass-A1#.mp3],14,4,
B1b Bass,B,1,b,bass,"<img src=""piano/images/score/021-14-1-bass-B1b-score.png""/>","<img src=""piano/images/keyboard/14-1-A1#-B1b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/A#-Bb-keyboard-octave.png""/>",[sound:piano/audio/021-14-1-bass-B1b.mp3],14,4,
B1 Bass,B,1,,bass,"<img src=""piano/images/score/020-15-1-bass-B1-score.png""/>","<img src=""piano/images/keyboard/15-1-B1-keyboard.png""/>","<img src=""piano/images/keyboard-octave/B-keyboard-octave.png""/>",[sound:piano/audio/020-15-1-bass-B1.mp3],15,4,
C2 Bass,C,2,,bass,"<img src=""piano/images/score/022-16-2-bass-C2-score.png""/>","<img src=""piano/images/keyboard/16-2-C2-keyboard.png""/>","<img src=""piano/images/keyboard-octave/C-keyboard-octave.png""/>",[sound:piano/audio/022-16-2-bass-C2.mp3],16,2,
C2# Bass,C,2,#,bass,"<img src=""piano/images/score/023-17-2-bass-C2#-score.png""/>","<img src=""piano/images/keyboard/17-2-C2#-D2b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/C#-Db-keyboard-octave.png""/>",[sound:piano/audio/023-17-2-bass-C2#.mp3],17,2,
D2b Bass,D,2,b,bass,"<img src=""piano/images/score/026-17-2-bass-D2b-score.png""/>","<img src=""piano/images/keyboard/17-2-C2#-D2b-keyboard.png""/>","<img src=""piano/images/keyboard-octave/C#-Db-keyboard-octave.png""/>",[sound:piano/audio/026-17-2-bass-D2b.mp3],17,2,
