name,octave,clef,treble_note,treble_octaves,treble_octaves_hidden,bass_note,bass_octaves,bass_octaves_hidden,order,filename
A0,0,bass,r2,r1,r1,"r4 a,,,4","r4 a,4 a,,4 a,,,4","r4 \hideNotes a,4 a,,4 a,,,4",4,001-01-0-bass-A0
A0#,0,bass,r2,r1,r1,"r4 ais,,,4","r4 ais,4 ais,,4 ais,,,4","r4 \hideNotes ais,4 ais,,4 ais,,,4",4,002-02-0-bass-A0#
B0b,0,bass,r2,r1,r1,"r4 bes,,,4","r4 bes,4 bes,,4 bes,,,4","r4 \hideNotes bes,4 bes,,4 bes,,,4",4,004-02-0-bass-B0b
B0,0,bass,r2,r1,r1,"r4 b,,,4","r4 b,4 b,,4 b,,,4","r4 \hideNotes b,4 b,,4 b,,,4",4,003-03-0-bass-B0
C1,1,bass,r2,r1,r1,"r4 c,,4","r4 c4 c,4 c,,4","r4 \hideNotes c4 c,4 c,,4",4,005-04-1-bass-C1
C1#,1,bass,r2,r1,r1,"r4 cis,,4","r4 cis4 cis,4 cis,,4","r4 \hideNotes cis4 cis,4 cis,,4",4,006-05-1-bass-C1#
D1b,1,bass,r2,r1,r1,"r4 des,,4","r4 des4 des,4 des,,4","r4 \hideNotes des4 des,4 des,,4",4,009-05-1-bass-D1b
D1,1,bass,r2,r1,r1,"r4 d,,4","r4 d4 d,4 d,,4","r4 \hideNotes d4 d,4 d,,4",4,007-06-1-bass-D1
D1#,1,bass,r2,r1,r1,"r4 dis,,4","r4 dis4 dis,4 dis,,4","r4 \hideNotes dis4 dis,4 dis,,4",4,008-07-1-bass-D1#
E1b,1,bass,r2,r1,r1,"r4 ees,,4","r4 ees4 ees,4 ees,,4","r4 \hideNotes ees4 ees,4 ees,,4",4,011-07-1-bass-E1b
E1,1,bass,r2,r1,r1,"r4 e,,4","r4 e4 e,4 e,,4","r4 \hideNotes e4 e,4 e,,4",4,010-08-1-bass-E1
F1,1,bass,r2,r1,r1,"r4 f,,4","r4 f4 f,4 f,,4","r4 \hideNotes f4 f,4 f,,4",4,012-09-1-bass-F1
F1#,1,bass,r2,r1,r1,"r4 fis,,4","r4 fis4 fis,4 fis,,4","r4 \hideNotes fis4 fis,4 fis,,4",4,013-10-1-bass-F1#
G1b,1,bass,r2,r1,r1,"r4 ges,,4","r4 ges4 ges,4 ges,,4","r4 \hideNotes ges4 ges,4 ges,,4",4,016-10-1-bass-G1b
G1,1,bass,r2,r1,r1,"r4 g,,4","r4 g4 g,4 g,,4","r4 \hideNotes g4 g,4 g,,4",4,014-11-1-bass-G1
G1#,1,bass,r2,r1,r1,"r4 gis,,4","r4 gis4 gis,4 gis,,4","r4 \hideNotes gis4 gis,4 gis,,4",4,015-12-1-bass-G1#
A1b,1,bass,r2,r1,r1,"r4 aes,,4","r4 aes4 aes,4 aes,,4","r4 \hideNotes aes4 aes,4 aes,,4",4,019-12-1-bass-A1b
A1,1,bass,r2,r1,r1,"r4 a,,4","r4 a4 a,4 a,,4","r4 \hideNotes a4 a,4 a,,4",4,017-13-1-bass-A1
A1#,1,bass,r2,r1,r1,"r4 ais,,4","r4 ais4 ais,4 ais,,4","r4 \hideNotes ais4 ais,4 ais,,4",4,018-14-1-bass-A1#
B1b,1,bass,r2,r1,r1,"r4 bes,,4","r4 bes4 bes,4 bes,,4","r4 \hideNotes bes4 bes,4 bes,,4",4,021-14-1-bass-B1b
B1,1,bass,r2,r1,r1,"r4 b,,4","r4 b4 b,4 b,,4","r4 \hideNotes b4 b,4 b,,4",4,020-15-1-bass-B1
C2,2,bass,r2,r1,r1,"r4 c,4","r4 c,,4 c,4 c4","r4 \hideNotes c,,4 c,4 c4",2,022-16-2-bass-C2
C2#,2,bass,r2,r1,r1,"r4 cis,4","r4 cis,,4 cis,4 cis4","r4 \hideNotes cis,,4 cis,4 cis4",2,023-17-2-bass-C2#
D2b,2,bass,r2,r1,r1,"r4 des,4","r4 des,,4 des,4 des4","r4 \hideNotes des,,4 des,4 des4",2,026-17-2-bass-D2b
D2,2,bass,r2,r1,r1,"r4 d,4","r4 d,,4 d,4 d4","r4 \hideNotes d,,4 d,4 d4",2,024-18-2-bass-D2
D2#,2,bass,r2,r1,r1,"r4 dis,4","r4 dis,,4 dis,4 dis4","r4 \hideNotes dis,,4 dis,4 dis4",2,025-19-2-bass-D2#
E2b,2,bass,r2,r1,r1,"r4 ees,4","r4 ees,,4 ees,4 ees4","r4 \hideNotes ees,,4 ees,4 ees4",2,028-19-2-bass-E2b
E2,2,bass,r2,r1,r1,"r4 e,4","r4 e,,4 e,4 e4","r4 \hideNotes e,,4 e,4 e4",2,027-20-2-bass-E2
F2,2,bass,r2,r1,r1,"r4 f,4","r4 f,,4 f,4 f4","r4 \hideNotes f,,4 f,4 f4",2,029-21-2-bass-F2
F2#,2,bass,r2,r1,r1,"r4 fis,4","r4 fis,,4 fis,4 fis4","r4 \hideNotes fis,,4 fis,4 fis4",2,030-22-2-bass-F2#
G2b,2,bass,r2,r1,r1,"r4 ges,4","r4 ges,,4 ges,4 ges4","r4 \hideNotes ges,,4 ges,4 ges4",2,033-22-2-bass-G2b
G2,2,bass,r2,r1,r1,"r4 g,4","r4 g,,4 g,4 g4","r4 \hideNotes g,,4 g,4 g4",2,031-23-2-bass-G2
G2#,2,bass,r2,r1,r1,"r4 gis,4","r4 gis,,4 gis,4 gis4","r4 \hideNotes gis,,4 gis,4 gis4",2,032-24-2-bass-G2#
A2b,2,bass,r2,r1,r1,"r4 aes,4","r4 aes,,4 aes,4 aes4","r4 \hideNotes aes,,4 aes,4 aes4",2,036-24-2-bass-A2b
A2,2,bass,r2,r1,r1,"r4 a,4","r4 a,,4 a,4 a4","r4 \hideNotes a,,4 a,4 a4",2,034-25-2-bass-A2
A2#,2,bass,r2,r1,r1,"r4 ais,4","r4 ais,,4 ais,4 ais4","r4 \hideNotes ais,,4 ais,4 ais4",2,035-26-2-bass-A2#
B2b,2,bass,r2,r1,r1,"r4 bes,4","r4 bes,,4 bes,4 bes4","r4 \hideNotes bes,,4 bes,4 bes4",2,038-26-2-bass-B2b
B2,2,bass,r2,r1,r1,"r4 b,4","r4 b,,4 b,4 b4","r4 \hideNotes b,,4 b,4 b4",2,037-27-2-bass-B2
C3,3,treble,r4 c4,"r4 c,4 c4 c'4","r4 \hideNotes c,4 c4 c'4",r2,r1,r1,3,039-28-3-treble-C3
C3#,3,treble,r4 cis4,"r4 cis,4 cis4 cis'4","r4 \hideNotes cis,4 cis4 cis'4",r2,r1,r1,3,040-29-3-treble-C3#
D3b,3,treble,r4 des4,"r4 des,4 des4 des'4","r4 \hideNotes des,4 des4 des'4",r2,r1,r1,3,043-29-3-treble-D3b
D3,3,treble,r4 d4,"r4 d,4 d4 d'4","r4 \hideNotes d,4 d4 d'4",r2,r1,r1,3,041-30-3-treble-D3
D3#,3,treble,r4 dis4,"r4 dis,4 dis4 dis'4","r4 \hideNotes dis,4 dis4 dis'4",r2,r1,r1,3,042-31-3-treble-D3#
E3b,3,treble,r4 ees4,"r4 ees,4 ees4 ees'4","r4 \hideNotes ees,4 ees4 ees'4",r2,r1,r1,3,045-31-3-treble-E3b
E3,3,treble,r4 e4,"r4 e,4 e4 e'4","r4 \hideNotes e,4 e4 e'4",r2,r1,r1,3,044-32-3-treble-E3
F3,3,treble,r4 f4,"r4 f,4 f4 f'4","r4 \hideNotes f,4 f4 f'4",r2,r1,r1,3,046-33-3-treble-F3
F3#,3,treble,r4 fis4,"r4 fis,4 fis4 fis'4","r4 \hideNotes fis,4 fis4 fis'4",r2,r1,r1,3,047-34-3-treble-F3#
G3b,3,treble,r4 ges4,"r4 ges,4 ges4 ges'4","r4 \hideNotes ges,4 ges4 ges'4",r2,r1,r1,3,050-34-3-treble-G3b
