#,key#,piano_note,order,octave,name,sound/score_filename,keyboard_filename,clef,t_rest,root_t_note,octave_Δ,b,treble_note,octave_rest,-1Δ,0Δ,1Δ,treble_octaves,,b_rest,root_b_note,octave_Δ,b,bass_note,octave_rest,-1Δ,0Δ,1Δ,bass_octaves
,,,,,,000#-key00#-octave0-clef-piano_note,octave0-piano_note,,,,,,,,,,,,,,,,,,,,,,
1,1,A0,4,0,A0,001-01-0-bass-A0,0-A0,bass,,,,,r2,,,,,r1,,r4,a,",,,",4,"r4 a,,,4",r4,"a,4","a,,4","a,,,4","r4 a,4 a,,4 a,,,4"
2,2,A0#,4,0,A0#,002-02-0-bass-A0#,0-A0#,bass,,,,,r2,,,,,r1,,r4,ais,",,,",4,"r4 ais,,,4",r4,"ais,4","ais,,4","ais,,,4","r4 ais,4 ais,,4 ais,,,4"
4,2,B0b,4,0,B0b,004-02-0-bass-B0b,0-B0b,bass,,,,,r2,,,,,r1,,r4,bes,",,,",4,"r4 bes,,,4",r4,"bes,4","bes,,4","bes,,,4","r4 bes,4 bes,,4 bes,,,4"
3,3,B0,4,0,B0,003-03-0-bass-B0,0-B0,bass,,,,,r2,,,,,r1,,r4,b,",,,",4,"r4 b,,,4",r4,"b,4","b,,4","b,,,4","r4 b,4 b,,4 b,,,4"
5,4,C1,4,1,C1,005-04-1-bass-C1,1-C1,bass,,,,,r2,,,,,r1,,r4,c,",,",4,"r4 c,,4",r4,c4,"c,4","c,,4","r4 c4 c,4 c,,4"
6,5,C1#,4,1,C1#,006-05-1-bass-C1#,1-C1#,bass,,,,,r2,,,,,r1,,r4,cis,",,",4,"r4 cis,,4",r4,cis4,"cis,4","cis,,4","r4 cis4 cis,4 cis,,4"
9,5,D1b,4,1,D1b,009-05-1-bass-D1b,1-D1b,bass,,,,,r2,,,,,r1,,r4,des,",,",4,"r4 des,,4",r4,des4,"des,4","des,,4","r4 des4 des,4 des,,4"
7,6,D1,4,1,D1,007-06-1-bass-D1,1-D1,bass,,,,,r2,,,,,r1,,r4,d,",,",4,"r4 d,,4",r4,d4,"d,4","d,,4","r4 d4 d,4 d,,4"
8,7,D1#,4,1,D1#,008-07-1-bass-D1#,1-D1#,bass,,,,,r2,,,,,r1,,r4,dis,",,",4,"r4 dis,,4",r4,dis4,"dis,4","dis,,4","r4 dis4 dis,4 dis,,4"
11,7,E1b,4,1,E1b,011-07-1-bass-E1b,1-E1b,bass,,,,,r2,,,,,r1,,r4,ees,",,",4,"r4 ees,,4",r4,ees4,"ees,4","ees,,4","r4 ees4 ees,4 ees,,4"
10,8,E1,4,1,E1,010-08-1-bass-E1,1-E1,bass,,,,,r2,,,,,r1,,r4,e,",,",4,"r4 e,,4",r4,e4,"e,4","e,,4","r4 e4 e,4 e,,4"
12,9,F1,4,1,F1,012-09-1-bass-F1,1-F1,bass,,,,,r2,,,,,r1,,r4,f,",,",4,"r4 f,,4",r4,f4,"f,4","f,,4","r4 f4 f,4 f,,4"
13,10,F1#,4,1,F1#,013-10-1-bass-F1#,1-F1#,bass,,,,,r2,,,,,r1,,r4,fis,",,",4,"r4 fis,,4",r4,fis4,"fis,4","fis,,4","r4 fis4 fis,4 fis,,4"
16,10,G1b,4,1,G1b,016-10-1-bass-G1b,1-G1b,bass,,,,,r2,,,,,r1,,r4,ges,",,",4,"r4 ges,,4",r4,ges4,"ges,4","ges,,4","r4 ges4 ges,4 ges,,4"
14,11,G1,4,1,G1,014-11-1-bass-G1,1-G1,bass,,,,,r2,,,,,r1,,r4,g,",,",4,"r4 g,,4",r4,g4,"g,4","g,,4","r4 g4 g,4 g,,4"
15,12,G1#,4,1,G1#,015-12-1-bass-G1#,1-G1#,bass,,,,,r2,,,,,r1,,r4,gis,",,",4,"r4 gis,,4",r4,gis4,"gis,4","gis,,4","r4 gis4 gis,4 gis,,4"
19,12,A1b,4,1,A1b,019-12-1-bass-A1b,1-A1b,bass,,,,,r2,,,,,r1,,r4,aes,",,",4,"r4 aes,,4",r4,aes4,"aes,4","aes,,4","r4 aes4 aes,4 aes,,4"
17,13,A1,4,1,A1,017-13-1-bass-A1,1-A1,bass,,,,,r2,,,,,r1,,r4,a,",,",4,"r4 a,,4",r4,a4,"a,4","a,,4","r4 a4 a,4 a,,4"
18,14,A1#,4,1,A1#,018-14-1-bass-A1#,1-A1#,bass,,,,,r2,,,,,r1,,r4,ais,",,",4,"r4 ais,,4",r4,ais4,"ais,4","ais,,4","r4 ais4 ais,4 ais,,4"
21,14,B1b,4,1,B1b,021-14-1-bass-B1b,1-B1b,bass,,,,,r2,,,,,r1,,r4,bes,",,",4,"r4 bes,,4",r4,bes4,"bes,4","bes,,4","r4 bes4 bes,4 bes,,4"
20,15,B1,4,1,B1,020-15-1-bass-B1,1-B1,bass,,,,,r2,,,,,r1,,r4,b,",,",4,"r4 b,,4",r4,b4,"b,4","b,,4","r4 b4 b,4 b,,4"
22,16,C2,2,2,C2,022-16-2-bass-C2,2-C2,bass,,,,,r2,,,,,r1,,r4,c,",",4,"r4 c,4",r4,"c,,4","c,4",c4,"r4 c,,4 c,4 c4"
23,17,C2#,2,2,C2#,023-17-2-bass-C2#,2-C2#,bass,,,,,r2,,,,,r1,,r4,cis,",",4,"r4 cis,4",r4,"cis,,4","cis,4",cis4,"r4 cis,,4 cis,4 cis4"
26,17,D2b,2,2,D2b,026-17-2-bass-D2b,2-D2b,bass,,,,,r2,,,,,r1,,r4,des,",",4,"r4 des,4",r4,"des,,4","des,4",des4,"r4 des,,4 des,4 des4"
24,18,D2,2,2,D2,024-18-2-bass-D2,2-D2,bass,,,,,r2,,,,,r1,,r4,d,",",4,"r4 d,4",r4,"d,,4","d,4",d4,"r4 d,,4 d,4 d4"
25,19,D2#,2,2,D2#,025-19-2-bass-D2#,2-D2#,bass,,,,,r2,,,,,r1,,r4,dis,",",4,"r4 dis,4",r4,"dis,,4","dis,4",dis4,"r4 dis,,4 dis,4 dis4"
28,19,E2b,2,2,E2b,028-19-2-bass-E2b,2-E2b,bass,,,,,r2,,,,,r1,,r4,ees,",",4,"r4 ees,4",r4,"ees,,4","ees,4",ees4,"r4 ees,,4 ees,4 ees4"
27,20,E2,2,2,E2,027-20-2-bass-E2,2-E2,bass,,,,,r2,,,,,r1,,r4,e,",",4,"r4 e,4",r4,"e,,4","e,4",e4,"r4 e,,4 e,4 e4"
29,21,F2,2,2,F2,029-21-2-bass-F2,2-F2,bass,,,,,r2,,,,,r1,,r4,f,",",4,"r4 f,4",r4,"f,,4","f,4",f4,"r4 f,,4 f,4 f4"
30,22,F2#,2,2,F2#,030-22-2-bass-F2#,2-F2#,bass,,,,,r2,,,,,r1,,r4,fis,",",4,"r4 fis,4",r4,"fis,,4","fis,4",fis4,"r4 fis,,4 fis,4 fis4"
